CBF,ATT,PLD,Selected,Signal_Amplitude,Norm_Signal,Slope_dS_dPLD,Abs_Slope,Curve_Max_PLD,Dist_to_Max,Curve_Region,Sens_CBF,Sens_ATT
50.0,1.0,1.525,True,389.03521860140347,0.6456485253563643,-323.91374444903704,323.91374444903704,1.0,0.5249999999999999,post-maximum/decay,7.780704372028055,89.83944619596627
50.0,1.0,2.025,False,256.4678226809566,0.42563774074391675,-213.89400734131414,213.89400734131414,1.0,1.025,post-maximum/decay,5.12935645361911,59.22581312708843
50.0,1.0,2.525,True,169.0740090503295,0.2805976924451128,-141.24330060260763,141.24330060260763,1.0,1.525,late decay,3.38148018100658,39.044062370035704
50.0,1.0,3.025,True,111.46045627685476,0.18498139960030646,-92.7253832144188,92.7253832144188,1.0,2.025,late decay,2.229209125537089,25.73943228240779
50.0,1.0,3.525,False,73.47926143838275,0.12194725444786618,-61.23051009066785,61.23051009066785,1.0,2.525,late decay,1.4695852287676487,16.968479558856018
50.0,1.0,4.025,False,48.44051461730257,0.0803925848734251,-40.43310726787104,40.43310726787104,1.0,3.0250000000000004,late decay,0.9688102923460455,11.186311157923399
50.0,1.5,1.525,True,436.6498970818247,0.9798525621626499,-363.5580955511723,363.5580955511723,1.4979959919839678,0.02700400801603209,near maximum,8.732997941636484,-16.395895672172855
50.0,1.5,2.025,False,287.857353329181,0.6459586205836249,-240.07285671403224,240.07285671403224,1.4979959919839678,0.5270040080160321,post-maximum/decay,5.757147066583599,66.47456057963382
50.0,1.5,2.525,True,189.7672630165611,0.42584216811695813,-158.5303070846494,158.5303070846494,1.4979959919839678,1.027004008016032,post-maximum/decay,3.795345260331203,43.822731208815924
50.0,1.5,3.025,True,125.10229006245109,0.2807324592753468,-104.07419971643321,104.07419971643321,1.4979959919839678,1.527004008016032,late decay,2.502045801249018,28.88972493920477
50.0,1.5,3.525,False,82.47251254028897,0.18507024337040004,-68.72461579564788,68.72461579564788,1.4979959919839678,2.027004008016032,late decay,1.6494502508057707,19.045280475238826
50.0,1.5,4.025,False,54.369231141274085,0.12200582387085199,-45.381783661351164,45.381783661351164,1.4979959919839678,2.5270040080160325,late decay,1.0873846228254784,12.555422702840033
